               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1053,            0.017212,                   0,          0.00086022,             0.42105,          0.00075725,          0.00020143,            0.047246,           0.0089539,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.098029,            0.019107,                   0,          0.00053763,             0.26316,          0.00048215,          0.00011349,            0.044872,           0.0093302,                   0,             0.04056,           0.0065319,           0.0065319
                   2,            0.093802,            0.018725,                   0,           0.0011828,             0.57895,           0.0013291,          0.00034241,            0.043127,            0.009264,                   0,            0.010428,           0.0097339,           0.0097339
                   3,            0.090424,            0.019863,                   0,          0.00096774,             0.47368,           0.0010172,          0.00022611,            0.049334,           0.0083762,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.09048,            0.019389,                   0,          0.00080636,             0.36842,          0.00080824,          0.00021547,            0.046446,           0.0070474,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.087909,              0.0186,                   0,          0.00099354,             0.42105,           0.0025864,            0.000418,            0.045262,           0.0070655,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.084981,            0.020378,                   0,           0.0012116,             0.57895,           0.0026984,          0.00047059,            0.043102,            0.007591,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.084537,            0.019103,                   0,           0.0010753,             0.52632,           0.0037285,          0.00095362,            0.041659,           0.0080239,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.082066,            0.019434,                   0,           0.0014161,             0.57895,           0.0025406,          0.00059729,            0.040516,            0.008074,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.082683,            0.021234,                   0,           0.0012903,             0.63158,           0.0044547,           0.0014854,            0.039556,           0.0084519,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.080195,            0.019926,                   0,           0.0012206,             0.57895,           0.0086178,           0.0032743,            0.038826,           0.0082647,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.078777,            0.019526,                   0,           0.0015285,             0.68421,            0.024679,           0.0069681,            0.037839,           0.0081309,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.077367,            0.019713,                   0,           0.0016214,             0.68421,            0.020502,           0.0059248,            0.037737,           0.0079723,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.076231,             0.02013,                   0,           0.0017687,             0.78947,            0.015465,           0.0043761,            0.036932,            0.008102,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.073997,            0.021346,                   0,           0.0017065,             0.78947,            0.014397,           0.0042576,            0.035905,            0.008405,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.07186,             0.01996,                   0,           0.0015054,             0.73684,            0.011161,           0.0033804,             0.03707,           0.0084392,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.071153,            0.020108,                   0,           0.0017204,             0.84211,            0.011421,           0.0036586,            0.034772,           0.0085307,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.068845,            0.022223,                   0,            0.019822,             0.36842,            0.037364,           0.0085998,            0.033937,           0.0086084,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.068226,            0.020668,                   0,             0.05309,            0.097571,            0.035394,           0.0045461,            0.037963,            0.007825,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.067891,            0.020568,                   0,           0.0038309,             0.47368,           0.0062688,           0.0025301,              0.0353,           0.0083358,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.067257,            0.020313,                   0,           0.0038839,             0.31579,           0.0046038,           0.0011346,            0.038687,            0.011247,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.067879,             0.01964,                   0,            0.013431,             0.36842,            0.011646,           0.0045677,            0.036898,           0.0089166,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.067392,            0.021039,                   0,           0.0013978,             0.68421,           0.0056135,           0.0016606,            0.038513,           0.0080092,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.062761,            0.021553,                   0,             0.38064,            0.052632,             0.03913,            0.015437,             0.03342,            0.010111,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.064418,            0.019901,                   0,             0.27294,            0.052632,            0.046425,             0.01606,            0.032611,           0.0096571,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.061931,            0.021182,                   0,             0.16504,             0.15789,            0.075763,            0.022787,            0.032993,           0.0092079,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.061957,             0.02023,                   0,             0.42702,            0.052632,            0.068669,            0.025627,             0.03865,           0.0069837,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.059582,            0.019269,                   0,              0.1099,             0.10526,            0.081088,            0.034289,            0.030617,           0.0080412,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.059655,             0.02134,                   0,            0.067889,             0.21053,            0.065171,            0.030312,            0.031273,            0.010313,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.058431,            0.019621,                   0,             0.13566,             0.15789,            0.083807,            0.036792,            0.029293,           0.0096395,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.058075,            0.019517,                   0,             0.12535,             0.15843,            0.077609,            0.029821,            0.030235,           0.0081335,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.058195,             0.01975,                   0,             0.37375,             0.15789,              0.1733,            0.081023,            0.029628,           0.0078249,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.056521,            0.021251,                   0,             0.26185,             0.15789,             0.16781,            0.051694,             0.03195,           0.0075834,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.05622,            0.019582,                   0,             0.69695,             0.15789,              0.2406,            0.090043,            0.029507,           0.0096719,                   0,            0.006832,            0.006832,            0.006832
