               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1053,            0.017212,                   0,          0.00086022,             0.42105,          0.00075725,          0.00020143,            0.047246,           0.0089539,                   0,            0.070625,           0.0032639,           0.0032639
                   1,            0.097741,            0.019146,                   0,          0.00064516,             0.31579,          0.00064158,          0.00013453,            0.044957,           0.0093439,                   0,            0.040618,           0.0065907,           0.0065907
                   2,            0.094121,            0.018666,                   0,          0.00053763,             0.26316,          0.00035075,          8.9219e-05,            0.058873,            0.024598,                   0,            0.010605,           0.0099109,           0.0099109
                   3,            0.091445,             0.01969,                   0,          0.00021505,             0.10526,          0.00013552,          1.3552e-05,              0.0678,            0.063032,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.090588,            0.019381,                   0,          0.00064823,             0.31579,          0.00082168,          0.00019062,            0.054019,           0.0095069,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.088083,            0.018648,                   0,           0.0010047,             0.47368,           0.0013526,          0.00033693,            0.045319,           0.0074588,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.085726,             0.02035,                   0,          0.00087403,             0.42105,           0.0012451,          0.00030494,            0.041048,           0.0083055,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.085011,            0.019068,                   0,           0.0011909,             0.57895,           0.0014403,          0.00040602,            0.041455,           0.0082523,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.082876,            0.019344,                   0,           0.0011916,             0.57895,           0.0015761,          0.00034305,            0.040461,           0.0084887,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.083501,            0.021248,                   0,           0.0010754,             0.52632,           0.0025495,          0.00070416,            0.038528,           0.0088074,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.081027,            0.019894,                   0,           0.0010753,             0.52632,           0.0025653,          0.00086828,            0.041783,           0.0082979,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.080095,            0.019465,                   0,           0.0013978,             0.68421,           0.0041708,          0.00077003,            0.039059,           0.0085095,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.079142,            0.019558,                   0,           0.0012903,             0.63158,           0.0048076,           0.0017888,            0.038293,           0.0086585,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.077302,            0.020201,                   0,           0.0014077,             0.68421,           0.0068341,           0.0022718,            0.039397,            0.008262,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.075846,            0.021325,                   0,           0.0016129,             0.78947,           0.0089658,            0.002229,            0.036593,           0.0088223,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.073887,            0.019949,                   0,           0.0012903,             0.63158,            0.020458,           0.0056778,            0.038605,           0.0087925,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,             0.07337,            0.020031,                   0,           0.0012903,             0.63158,           0.0093968,           0.0031669,            0.037471,           0.0084551,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.070627,            0.022189,                   0,           0.0017204,             0.84211,            0.013861,            0.003501,            0.035024,           0.0087467,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.070566,            0.020706,                   0,           0.0013978,             0.68421,            0.004457,          0.00092083,            0.039375,           0.0096378,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.069451,            0.020673,                   0,           0.0013978,             0.68421,           0.0083871,            0.002129,            0.036412,           0.0086325,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.068834,            0.020407,                   0,           0.0084565,             0.36842,            0.024406,           0.0066127,            0.034644,           0.0093392,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.069434,            0.019739,                   0,            0.007801,             0.36842,            0.010898,           0.0030864,            0.035507,           0.0096379,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.068036,            0.021219,                   0,            0.024551,             0.42105,            0.027688,           0.0083181,            0.032195,           0.0095532,                   0,           0.0097921,           0.0097921,           0.0097921
