               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10572,           0.0095382,                   0,           0.0011111,             0.42105,            0.001206,          0.00035922,            0.096702,           0.0055239,                   0,            0.070769,           0.0032479,           0.0032479
                   1,             0.10012,            0.010671,                   0,          0.00083333,             0.31579,           0.0012099,          0.00024991,            0.092694,           0.0057204,                   0,            0.040748,           0.0065595,           0.0065595
                   2,            0.096861,            0.010472,                   0,           0.0011111,             0.42105,           0.0011773,          0.00045655,            0.090867,           0.0060818,                   0,            0.010704,           0.0098491,           0.0098491
                   3,            0.093314,             0.01112,                   0,                   0,                   0,                   0,                   0,             0.14995,            0.051223,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.092752,            0.011556,                   0,          0.00027778,             0.10526,           0.0001538,          2.2697e-05,              0.1431,             0.03115,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.089716,             0.01129,                   0,          0.00027778,             0.10526,           0.0001649,          4.0957e-05,             0.12933,           0.0031578,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.087449,            0.012347,                   0,          0.00085421,             0.31579,           0.0010682,          0.00022828,             0.10236,           0.0043284,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.086218,            0.011807,                   0,           0.0010243,             0.36842,           0.0014765,          0.00038495,            0.096625,           0.0046127,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.08527,            0.011459,                   0,          0.00097222,             0.36842,           0.0019477,          0.00038614,            0.089478,           0.0051923,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.083231,            0.011149,                   0,           0.0011111,             0.42105,           0.0032639,          0.00061388,            0.088581,           0.0048992,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.082472,            0.011745,                   0,             0.00125,             0.47368,           0.0027426,          0.00080007,            0.080554,           0.0058557,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.080254,            0.012754,                   0,           0.0015278,             0.57895,           0.0056618,           0.0015651,            0.079181,           0.0060413,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.079789,            0.012309,                   0,           0.0015278,             0.57895,           0.0055061,           0.0019417,            0.076527,             0.00605,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.078948,            0.012562,                   0,           0.0016667,             0.63158,           0.0044579,           0.0011983,            0.076558,           0.0057729,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.078405,            0.012065,                   0,           0.0018056,             0.68421,            0.024772,           0.0054433,            0.074114,           0.0062097,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.074892,             0.01224,                   0,           0.0018056,             0.68421,             0.01116,           0.0035909,            0.080009,           0.0060318,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.076698,             0.01249,                   0,           0.0018056,             0.68421,            0.074674,            0.022047,            0.076453,           0.0061116,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.074491,            0.012516,                   0,           0.0018056,             0.68421,            0.033393,            0.012679,            0.079059,           0.0060886,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.072561,            0.013184,                   0,           0.0020833,             0.78947,            0.019927,           0.0053431,            0.069929,           0.0065399,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.070901,            0.012065,                   0,           0.0020833,             0.78947,            0.013908,           0.0035713,            0.072275,           0.0065782,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.071663,            0.012763,                   0,           0.0022222,             0.84211,            0.025268,           0.0057233,            0.069549,           0.0065169,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.070447,             0.01307,                   0,           0.0022222,             0.84211,            0.019589,           0.0047186,            0.064882,           0.0064061,                   0,             0.00934,             0.00934,             0.00934
