               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1094,            0.030937,                   0,           0.0016667,             0.36364,           0.0013905,           0.0002724,             0.10557,            0.019706,                   0,              0.0739,              0.0029,              0.0029
                   1,             0.10546,            0.030796,                   0,           0.0016667,             0.36364,           0.0012608,          0.00038299,             0.10025,            0.019883,                   0,            0.046842,           0.0058416,           0.0058416
                   2,            0.098431,            0.032068,                   0,           0.0029167,             0.63636,           0.0025403,          0.00070874,            0.098052,            0.019698,                   0,            0.019724,           0.0087238,           0.0087238
                   3,            0.095102,            0.030526,                   0,              0.0025,             0.54545,           0.0025564,          0.00051886,            0.093827,            0.019726,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.092444,            0.031543,                   0,           0.0016667,             0.36364,           0.0045056,           0.0020747,            0.097473,            0.018081,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.089915,            0.031836,                   0,          0.00041667,            0.090909,          0.00025366,          0.00010146,             0.12909,             0.13532,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.086726,            0.032359,                   0,          0.00097244,            0.090909,          0.00063886,          0.00011613,             0.12529,            0.058135,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.082986,            0.029589,                   0,           0.0041696,            0.090909,           0.0018128,          0.00058714,             0.11149,            0.015156,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.081321,            0.033399,                   0,           0.0016667,             0.36364,           0.0019216,           0.0003245,              0.1023,            0.013466,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.079245,             0.02932,                   0,          0.00083333,             0.18182,          0.00081735,          0.00010946,             0.10385,            0.013403,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.079172,            0.031965,                   0,              0.0025,             0.54545,           0.0024033,          0.00069371,            0.091973,            0.014723,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.080407,            0.030244,                   0,           0.0033333,             0.72727,            0.012101,           0.0034082,            0.077689,            0.016219,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.075969,            0.028762,                   0,             0.00375,             0.81818,            0.026162,           0.0043339,            0.070635,             0.01758,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.073333,            0.030193,                   0,           0.0041667,             0.90909,            0.020216,           0.0046282,            0.061166,            0.018215,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.074408,            0.028362,                   0,           0.0045833,                   1,            0.031183,           0.0054934,            0.057992,            0.018281,                   0,            0.008713,            0.008713,            0.008713
